Title,Movie Info,Distributor,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Movie Runtime,License,Release Year
Man of ,"An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened, when other survivors of his home planet invade Earth.",Warner Bros.,"June 12, 2013",291045518,377000000,668045518,action adventure scifi,2 hr 23 min,PG-13,teel
"Monsters,","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",Walt Disney Studios Motion Pictures,"November 2, 2001",290642256,289065482,579707738,adventure animation comedy family fantasy,1 hr 32 min,G,Inc.
Harry Potter and the Goblet of,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",Warner Bros.,"November 16, 2005",290417905,606260335,896678241,adventure family fantasy mystery,2 hr 37 min,PG-13,Fire
Home ,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,Twentieth Century Fox,"November 16, 1990",285761243,190923432,476684675,comedy family,1 hr 43 min,,lone
The Hunger Games: Mockingjay - P,Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem.,Lionsgate,"November 18, 2015",281723902,376620235,658344137,action adventure scifi thriller,2 hr 17 min,PG-13,rt 2
The Matrix Rel,"Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation.",Warner Bros.,"May 15, 2003",281576461,460271476,741847937,action scifi,2 hr 18 min,R,aded
The Twilight Saga: Breaking Dawn - P,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",Summit Entertainment,"November 16, 2011",281287133,430918723,712205856,adventure drama fantasy romance thriller,1 hr 57 min,PG-13,rt 1
Meet the Fo,All hell breaks loose when the Byrnes family meets the Focker family for the first time.,Universal Pictures,"December 22, 2004",279261160,243396776,522657936,comedy romance,1 hr 55 min,PG-13,kers
The Han,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",Warner Bros.,"June 5, 2009",277322503,191988333,469310836,comedy,1 hr 40 min,R,over
Gr,Two astronauts work together to survive after an accident leaves them stranded in space.,Warner Bros.,"October 3, 2013",274092705,449100000,723192705,action drama scifi thriller,1 hr 31 min,PG-13,vity
The G,A grumpy Grinch plots to ruin Christmas for the village of Whoville.,Universal Pictures,"November 7, 2018",271094731,241474088,512568819,adventure animation comedy family fantasy musical,1 hr 25 min,PG,inch
,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",Universal Pictures,"December 2, 2016",270448425,363759959,634208384,animation comedy family musical,1 hr 48 min,PG,Sing
Monsters Unive,"A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.",Walt Disney Studios Motion Pictures,,268492764,475066881,743559645,adventure animation comedy family fantasy,1 hr 44 min,,sity
,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",DreamWorks Distribution,"May 16, 2001",267665011,220188309,487853320,adventure animation comedy family fantasy romance,1 hr 30 min,PG,hrek
Despicable,"Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist.",Universal Pictures,"June 14, 2017",264624300,770175831,1034800131,adventure animation comedy crime family scifi,1 hr 29 min,PG,Me 3
Harry Potter and the Chamber of Se,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,Warner Bros.,"November 14, 2002",262450136,617152229,879602366,adventure family fantasy mystery,2 hr 41 min,PG,rets
The Amazing Spide,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",Sony Pictures Entertainment (SPE),"June 28, 2012",262030663,495900000,757930663,action adventure scifi,2 hr 16 min,PG-13,-Man
The Incred,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",Walt Disney Studios Motion Pictures,"November 5, 2004",261441092,370165961,631607053,action adventure animation family,1 hr 55 min,,bles
,"When a killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Universal Pictures,"June 20, 1975",260758300,210653000,471411300,adventure thriller,2 hr 4 min,,Jaws
How the Grinch Stole Chri,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",Universal Pictures,"November 17, 2000",260465005,85108027,345573032,comedy family fantasy,1 hr 44 min,PG,tmas
Captain America: The Winter So,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",Walt Disney Studios Motion Pictures,"March 26, 2014",259766572,454654931,714421503,action adventure scifi thriller,2 hr 16 min,PG-13,dier
The Hobbit: The Desolation of ,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",Warner Bros.,,258366855,700640658,959007513,adventure fantasy,2 hr 41 min,,maug
The Lego ,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",Warner Bros.,"February 6, 2014",257760692,210300000,468060692,action adventure animation comedy family fantasy scifi,1 hr 40 min,PG,ovie
Star,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,Paramount Pictures,"May 6, 2009",257730019,127950427,385680446,action adventure scifi,2 hr 7 min,PG-13,Trek
I Am L,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",Warner Bros.,"December 12, 2007",256393010,329017042,585410052,action drama scifi thriller,1 hr 41 min,PG-13,gend
The Blind,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",Warner Bros.,"November 20, 2009",255959475,53248834,309208309,biography drama sport,2 hr 9 min,PG-13,Side
The Hobbit: The Battle of the Five A,Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,Warner Bros.,,255119788,707063077,962182865,adventure fantasy,2 hr 24 min,,mies
The Hangover Pa,"Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry.",Warner Bros.,"May 25, 2011",254464305,332300000,586764305,comedy,1 hr 42 min,R,t II
Despicab,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",Universal Pictures,"July 8, 2010",251513985,291600000,543113985,adventure animation comedy crime family scifi,1 hr 35 min,PG,e Me
B,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",Warner Bros.,"June 23, 1989",251348343,160160000,411508343,action adventure,2 hr 6 min,,tman
Night at the M,A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.,Twentieth Century Fox,,250863268,323617961,574481229,adventure comedy family fantasy,1 hr 48 min,,seum
Men in ,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,Sony Pictures Entertainment (SPE),"July 2, 1997",250690539,338700000,589390539,action adventure comedy scifi,1 hr 38 min,PG-13,lack
Harry Potter and the Prisoner of Az,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",Warner Bros.,"May 31, 2004",249975996,547385621,797361618,adventure family fantasy mystery,2 hr 22 min,PG,aban
,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",Walt Disney Studios Motion Pictures,,248757044,395379444,644136488,adventure animation comedy family fantasy musical,1 hr 47 min,,oana
Indiana Jones and the Raiders of the Los,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Paramount Pictures,"June 12, 1981",248159971,141766000,389925971,action adventure,1 hr 55 min,PG, Ark
Toy St,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",Walt Disney Studios Motion Pictures,"November 19, 1999",245852179,251523202,497375381,adventure animation comedy family fantasy,1 hr 32 min,,ry 2
Transformers: Age of Extin,"When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help.",Paramount Pictures,"June 25, 2014",245439076,858614996,1104054072,action adventure scifi,2 hr 45 min,PG-13,tion
,"A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.",Walt Disney Studios Motion Pictures,"June 8, 2006",244082982,217908885,461991867,adventure animation comedy family sport,1 hr 57 min,,Cars
Ghostbu,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",Columbia Pictures,"June 8, 1984",243578797,53000000,296578797,action comedy fantasy scifi,1 hr 45 min,,ters
Bruce Alm,A guy who complains about God too often is given almighty powers to teach him how difficult it is to run the world.,Universal Pictures,"May 23, 2003",242829261,241763613,484592874,comedy fantasy,1 hr 41 min,PG-13,ghty
Tw,"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.",Warner Bros.,"May 10, 1996",241721524,252750000,494471524,action adventure thriller,1 hr 53 min,,ster
My Big Fat Greek We,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.,IFC Films,"April 19, 2002",241438208,127305836,368744044,comedy drama romance,1 hr 35 min,PG,ding
Malef,"A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.",Walt Disney Studios Motion Pictures,"May 28, 2014",241410378,517001401,758411779,adventure family fantasy romance,1 hr 37 min,PG,cent
Pirates of the Caribbean: On Stranger ,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",Walt Disney Studios Motion Pictures,"May 18, 2011",241071802,804642000,1045713802,action adventure fantasy,2 hr 17 min,PG-13,ides
Shrek Forever ,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,DreamWorks,"May 20, 2010",238736787,513864080,752600867,adventure animation comedy family fantasy romance,1 hr 33 min,PG,fter
Fast & Furi,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty.",Universal Pictures,"May 17, 2013",238679850,550001118,788680968,action crime thriller,2 hr 10 min,PG-13,us 6
