,Title,Imdb,Letterboxd,Imdb Sample Size,RYM,RYM Sample Size,Letterboxd Sample Size,Release Year,Weighted Rating
277,The Bourne Supremacy ,7.7,7.06,,6.38,,,2004,7.046666666666667
278,The Lego Batman Movie ,7.3,7.5,,6.56,,,2017,7.12
279,Us ,6.8,7.48,,6.4,,,2019,6.8933333333333335
280,The Boss Baby ,6.3,5.1,,4.2,,,2017,5.2
281,Crazy Rich Asians ,6.9,7.06,,5.24,,,2018,6.3999999999999995
282,The Greatest Showman ,7.5,6.76,,4.6,,,2017,6.286666666666666
283,Fast & Furious Presents: Hobbs & Shaw ,6.5,5.54,,4.96,,,2019,5.666666666666667
284,Apollo 13 ,7.7,7.46,,6.2,,,1995,7.12
285,Home Alone 2: Lost in New York ,6.8,6.8,,5.48,,,1992,6.36
286,National Treasure ,6.9,6.46,,5.12,,,2004,6.16
287,F9: The Fast Saga ,5.2,5.08,,4.84,,,2021,5.04
288,Air Force One ,6.5,6.34,,4.92,,,1997,5.919999999999999
289,Rain Man ,8.0,7.56,,6.68,,,1988,7.413333333333333
290,Pirates of the Caribbean: Dead Men Tell No Tales ,6.5,5.32,,4.58,,,2017,5.466666666666666
291,TRON: Legacy ,6.8,6.2,,5.36,,,2010,6.12
292,Mary Poppins Returns ,6.7,6.24,,5.42,,,2018,6.12
293,The Matrix ,8.7,8.3,,7.6,,,1999,8.2
294,True Grit ,7.6,7.46,,6.8,,,2010,7.286666666666666
295,Tarzan ,7.3,7.28,,5.74,,,1999,6.773333333333333
296,John Wick: Chapter 3 - Parabellum ,7.4,7.38,,6.58,,,2019,7.12
297,A Beautiful Mind ,8.2,7.54,,6.42,,,2001,7.386666666666667
298,Chicago ,7.2,7.6,,5.92,,,2002,6.906666666666666
299,The Help ,8.1,7.6,,6.2,,,2011,7.3
300,Hotel Transylvania 2 ,7.0,5.86,,4.8,,,2015,5.886666666666667
301,Hidden Figures ,7.8,7.68,,6.2,,,2016,7.226666666666667
302,Bridesmaids ,6.8,6.96,,5.78,,,2011,6.513333333333333
303,Quantum of Solace ,6.6,5.6,,5.14,,,2008,5.7799999999999985
304,Wild Hogs ,5.8,4.48,,3.86,,,2007,4.713333333333334
305,Kong: Skull Island ,6.6,6.14,,5.62,,,2017,6.12
306,Three Men and a Baby ,6.1,5.98,,4.4,,,1987,5.493333333333333
307,Gone Girl ,8.1,8.16,,7.26,,,2014,7.84
308,Hotel Transylvania 3: Summer Vacation ,6.3,5.44,,4.54,,,2018,5.426666666666667
309,Casino Royale ,8.0,7.88,,6.82,,,2006,7.566666666666666
310,Meet the Parents ,7.0,6.44,,5.62,,,2000,6.353333333333334
311,Fifty Shades of Grey ,4.2,3.68,,2.62,,,2015,3.5
312,2012 ,5.8,4.82,,3.56,,,2009,4.726666666666667
313,Robin Hood: Prince of Thieves ,6.9,6.3,,5.32,,,1991,6.173333333333333
314,Knives Out ,7.9,8.12,,7.24,,,2019,7.753333333333333
315,Kung Fu Panda 2 ,7.2,7.08,,6.0,,,2011,6.760000000000001
316,Hannibal ,6.8,6.42,,5.32,,,2001,6.18
317,Eternals ,6.3,5.94,,5.04,,,2021,5.760000000000001
318,Catch Me If You Can ,8.1,8.02,,6.9,,,2002,7.673333333333333
319,The Proposal ,6.7,6.72,,4.64,,,2009,6.02
320,The Pursuit of Happyness ,8.0,7.66,,5.9,,,2006,7.186666666666667
321,Big Daddy ,6.4,6.2,,4.8,,,1999,5.8
322,Clash of the Titans ,5.8,4.72,,3.92,,,2010,4.813333333333333
323,The SpongeBob Movie: Sponge Out of Water ,6.0,5.32,,5.34,,,2015,5.553333333333334
324,Batman Returns ,7.1,7.16,,6.62,,,1992,6.96
325,Django Unchained ,8.4,8.4,,7.46,,,2012,8.086666666666666
326,A Bug's Life ,7.2,6.86,,6.08,,,1998,6.713333333333334
327,Jason Bourne ,6.6,5.74,,5.24,,,2016,5.859999999999999
328,Grown Ups ,5.9,5.66,,3.44,,,2010,5.0
329,The Waterboy ,6.1,5.74,,4.72,,,1998,5.5200000000000005
330,Ice Age: Continental Drift ,6.5,5.34,,4.4,,,2012,5.413333333333334
331,Straight Outta Compton ,7.8,7.4,,6.66,,,2015,7.286666666666666
332,Die Another Day ,6.1,4.84,,4.24,,,2002,5.06
333,Shark Tale ,6.0,5.46,,3.68,,,2004,5.046666666666667
334,How to Train Your Dragon: The Hidden World ,7.4,7.34,,6.2,,,2019,6.98
335,No Time to Die ,7.3,7.02,,6.12,,,2021,6.813333333333333
336,A Quiet Place Part II ,7.2,7.06,,6.0,,,2020,6.753333333333333
