Title,Imdb,Letterboxd,Rateyourmusic,,,,,,,
Ocean's Eleven (2001),7.7,3.84,3.23,,,,,,,
The Simpsons Movie (2007),7.3,3.37,2.94,,,,,,,
What Women Want (2000),6.4,2.71,2.17,,,,,,,
The Perfect Storm (2000),6.5,3.01,2.51,,,,,,,
Lincoln (2012),7.3,3.5,3.12,,,,,,,
Liar Liar (1997),6.9,3.24,2.77,,,,,,,
Jurassic Park III (2001),5.9,2.72,2.17,,,,,,,
Thor (2011),7,2.87,2.56,,,,,,,
Mission: Impossible (1996),7.1,3.54,2.97,,,,,,,
Ant-Man (2015),7.3,3.32,2.93,,,,,,,
Planet of the Apes (2001),5.7,2.25,1.92,,,,,,,
Madagascar: Escape 2 Africa (2008),6.6,3.02,2.46,,,,,,,
X-Men Origins: Wolverine (2009),6.5,2.35,2.11,,,,,,,
Indiana Jones and the Temple of Doom (1984),7.5,3.61,3.27,,,,,,,
Hitch (2005),6.6,2.94,2.19,,,,,,,
Men in Black 3 (2012),6.8,3.03,2.71,,,,,,,
Pretty Woman (1990),7.1,3.6,2.51,,,,,,,
Home (2015),6.6,2.74,2.22,,,,,,,
Night at the Museum: Battle of the Smithsonian (2009),6,2.8,2.09,,,,,,,
Tootsie (1982),7.4,3.65,3.24,,,,,,,
How to Train Your Dragon 2 (2014),7.8,3.68,3.22,,,,,,,
Rise of the Planet of the Apes (2011),7.6,3.57,3.11,,,,,,,
Captain America: The First Avenger (2011),6.9,3.32,2.72,,,,,,,
Elf (2003),7.1,3.54,2.8,,,,,,,
The Karate Kid (2010),6.2,2.89,2.24,,,,,,,
There's Something About Mary (1998),7.1,3.21,2.91,,,,,,,
Ice Age (2002),7.5,3.46,2.93,,,,,,,
The Bourne Supremacy (2004),7.7,3.53,3.19,,,,,,,
The Lego Batman Movie (2017),7.3,3.75,3.28,,,,,,,
Us (2019),6.8,3.74,3.2,,,,,,,
The Boss Baby (2017),6.3,2.55,2.1,,,,,,,
Crazy Rich Asians (2018),6.9,3.53,2.62,,,,,,,
The Greatest Showman (2017),7.5,3.38,2.3,,,,,,,
Fast & Furious Presents: Hobbs & Shaw (2019),6.5,2.77,2.48,,,,,,,
Apollo 13 (1995),7.7,3.73,3.1,,,,,,,
Home Alone 2: Lost in New York (1992),6.8,3.4,2.74,,,,,,,
National Treasure (2004),6.9,3.23,2.56,,,,,,,
F9: The Fast Saga (2021),5.2,2.54,2.42,,,,,,,
Air Force One (1997),6.5,3.17,2.46,,,,,,,
Rain Man (1988),8,3.78,3.34,,,,,,,
Pirates of the Caribbean: Dead Men Tell No Tales (2017),6.5,2.66,2.29,,,,,,,
TRON: Legacy (2010),6.8,3.1,2.68,,,,,,,
Mary Poppins Returns (2018),6.7,3.12,2.71,,,,,,,
The Matrix (1999),8.7,4.15,3.8,,,,,,,
True Grit (2010),7.6,3.73,3.4,,,,,,,
Tarzan (1999),7.3,3.64,2.87,,,,,,,
John Wick: Chapter 3 - Parabellum (2019),7.4,3.69,3.29,,,,,,,
A Beautiful Mind (2001),8.2,3.77,3.21,,,,,,,
Chicago (2002),7.2,3.8,2.96,,,,,,,
The Help (2011),8.1,3.8,3.1,,,,,,,
Hotel Transylvania 2 (2015),7,2.93,2.4,,,,,,,
Hidden Figures (2016),7.8,3.84,3.1,,,,,,,
Bridesmaids (2011),6.8,3.48,2.89,,,,,,,
Quantum of Solace (2008),6.6,2.8,2.57,,,,,,,
Wild Hogs (2007),5.8,2.24,1.93,,,,,,,
Kong: Skull Island (2017),6.6,3.07,2.81,,,,,,,
Three Men and a Baby (1987),6.1,2.99,2.2,,,,,,,
Gone Girl (2014),8.1,4.08,3.63,,,,,,,
Hotel Transylvania 3: Summer Vacation (2018),6.3,2.72,2.27,,,,,,,
Casino Royale (2006),8,3.94,3.41,,,,,,,
Meet the Parents (2000),7,3.22,2.81,,,,,,,
Fifty Shades of Grey (2015),4.2,1.84,1.31,,,,,,,
2012 (2009),5.8,2.41,1.78,,,,,,,
Robin Hood: Prince of Thieves (1991),6.9,3.15,2.66,,,,,,,
Knives Out (2019),7.9,4.06,3.62,,,,,,,
Kung Fu Panda 2 (2011),7.2,3.54,3,,,,,,,
Hannibal (2001),6.8,3.21,2.66,,,,,,,
Eternals (2021),6.3,2.97,2.52,,,,,,,
Catch Me If You Can (2002),8.1,4.01,3.45,,,,,,,
The Proposal (2009),6.7,3.36,2.32,,,,,,,
The Pursuit of Happyness (2006),8,3.83,2.95,,,,,,,
Big Daddy (1999),6.4,3.1,2.4,,,,,,,
Clash of the Titans (2010),5.8,2.36,1.96,,,,,,,
The SpongeBob Movie: Sponge Out of Water (2015),6,2.66,2.67,,,,,,,
Batman Returns (1992),7.1,3.58,3.31,,,,,,,
