,Title,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Release Year
100,"Monsters, Inc. ",290642256,289065482,579707738,family,2001
100,"Monsters, Inc. ",290642256,289065482,579707738,fantasy,2001
101,Harry Potter and the Goblet of Fire ,290417905,606260335,896678241,adventure,2005
101,Harry Potter and the Goblet of Fire ,290417905,606260335,896678241,family,2005
101,Harry Potter and the Goblet of Fire ,290417905,606260335,896678241,fantasy,2005
101,Harry Potter and the Goblet of Fire ,290417905,606260335,896678241,mystery,2005
102,Home Alone ,285761243,190923432,476684675,comedy,1990
102,Home Alone ,285761243,190923432,476684675,family,1990
103,The Hunger Games: Mockingjay - Part 2 ,281723902,376620235,658344137,action,2015
103,The Hunger Games: Mockingjay - Part 2 ,281723902,376620235,658344137,adventure,2015
103,The Hunger Games: Mockingjay - Part 2 ,281723902,376620235,658344137,scifi,2015
103,The Hunger Games: Mockingjay - Part 2 ,281723902,376620235,658344137,thriller,2015
104,The Matrix Reloaded ,281576461,460271476,741847937,action,2003
104,The Matrix Reloaded ,281576461,460271476,741847937,scifi,2003
105,The Twilight Saga: Breaking Dawn - Part 1 ,281287133,430918723,712205856,adventure,2011
105,The Twilight Saga: Breaking Dawn - Part 1 ,281287133,430918723,712205856,drama,2011
105,The Twilight Saga: Breaking Dawn - Part 1 ,281287133,430918723,712205856,fantasy,2011
105,The Twilight Saga: Breaking Dawn - Part 1 ,281287133,430918723,712205856,romance,2011
105,The Twilight Saga: Breaking Dawn - Part 1 ,281287133,430918723,712205856,thriller,2011
106,Meet the Fockers ,279261160,243396776,522657936,comedy,2004
